,SiteCode,IGBP_vegetation_short,Previous IGBP,CABLE_PFT,CABLE_patchfrac,Source_CABLE_PFT,Change,Matches modeval?,Comment,VegDEc,Ref
764,US-Prr,ENF,,1,1,IGBP,,yes,,,"Davis, K.J., Bakwin, P.S., Yi, C., Berger, B.W., Zhao, C., Teclaw, R., and Isebrands, J.G., 2003. The annual cycles of CO2 and H2O exchange over a northern mixed forest as observed from a very tall tower, Global Change Biology, 9, 1278-1293."
798,US-SP1,ENF,,1,1,IGBP,,yes,,,
799,US-SP2,ENF,MF,1,1,Anna (see ref),x,yes,,Even aged slash pine (Pinus elliottii) plantation. Planted in Jan. 1999.,https://ameriflux.lbl.gov/sites/siteinfo/US-SP2#overview
800,US-SP3,EBF,,2,1,IGBP,,yes,,,
803,US-SRG,GRA,,7,1,Anna (see ref),x,yes,,"Semidesert C4 grassland, lies in Pasture 1 on the Santa Rita Experimental Range. This is the companion site for US-SRM, but has much less mesquite encroachment.",https://modelevaluation.org/dataSet/display/L95MimCnsQgjZa6rS
804,US-SRM,WSA,,"5,7","0.5,0.5","Anna (see ref, estimated from pictures)",x,yes,,Semidesert grassland encroached by mesquite (Prosopis velutina) trees.,https://modelevaluation.org/dataSet/display/3gX58rbhy5Qf2QKtd
810,US-Syv,MF,,"1,4","0.5,0.5",Anna (see ref),x,yes,,"The immediate 1 ha around the tower has relatively flat topography (<3% slope), except for a steeper decline (_12%) from the tower to the northeast. A closed canopy of sugar maple is dominant (71% of overstory stems) in the 1 ha surrounding the tower, which also contains hemlock (14%), yellow birch (7%), basswood, and ironwood (8%) in the overstory. However, hemlock is dominant in the 1 km2 surrounding the tower. All upland forest in the entire 1 km2 is old-growth forest except for about 600 m2 to the northeast. Thus, the fluxes measured by the tower are considered representative of old-growth forest given typical flux footprints and wind patterns. There was no evidence of recent disturbance in the area.","Deser et al. (2005), https://doi.org/10.1016/j.agrformet.2004.09.005"
811,US-Ton,WSA,,"4,6","0.4,0.6","Anna (see ref, C4 fraction from International Satellite Land Surface Climatology381 Project Initiative II)",x,yes,,"Located in the lower foothills of the Sierra Nevada Mountains, the Tonzi Ranch site is classified as an oak savanna woodland on privately owned land. Managed by local rancher, Russell Tonzi, brush has been periodically removed for cattle grazing. The overstory is dominated by blue oak trees (40% of total vegetation) with intermittent grey pine trees (3 trees/ha). Understory species include a variety of grasses and herbs, including purple false brome, smooth cat's ear, and rose clover. These two distinctive layers operate in and out from one another. Growing season of the understory is confined to the wet season only, typically from October to early May. In contrast, the deciduous blue oak trees are dormant during the rainy winter months and reach maximum LAI in April. The blue oak ecosystem rings the Great Central Valley of California, inhabiting the lower reaches of the Sierra Nevada foothills.",https://modelevaluation.org/dataSet/display/8iAqxJXjkxFLj7bY4
815,US-Tw4,WET,,11,1,IGBP,,yes,,,
816,US-Twt,CRO,,9,1,Juergen,,yes,,,
819,US-UMB,DBF,,4,1,IGBP,,yes,,,
822,US-Var,GRA,,6,1,Juergen,,yes,,,
827,US-WCr,DBF,,4,1,IGBP,,yes,,,
830,US-Whs,OSH,,"2,6,7,14","0.02,0.19,0.24,0.55","Anna (fractions based on MODIS treefrac and nonveg, C4 frac from ISLSCP II)",x,yes,55% C4,,
842,US-Wkg,GRA,,7,1,Juergen,,yes,,,
852,ZA-Kru,SAV,,"2,10","0.3,0.7","Anna (see ref, mainly C4 grass)",x,yes,,"The landscape is gently undulating, consisting of broad-leaved Combretum apiculatum-dominated savanna on the coarse sand crests and fine-leaved Acacia nigrescens savanna on sandy clay loam in the valleys (Scholes et al., 2001). The woody vegetation reaches 8–10 m in height and theflux sensors are at 17 m, giving the tower a footprint of about500 m. The vertically projected tree canopy cover in thisarea is about 30% and woody basal area is 7 m2 ha_1. Thegrass layer is dominated by Panicum maximum, Digitariaeriantha, Eragrostis rigidor, and Pogonarthria squarrosa.","Archibald, S. A., Kirton, A., Merwe, M. R. van der, Scholes, R. J., Williams, C. A. and Hanan, N.: Drivers of inter-annual variability in Net Ecosystem Exchange in a semi-arid savanna ecosystem, South Africa, Biogeosciences, 6(2), 251–266, 2009."
856,ZM-Mon,DBF,,4,1,IGBP,,no (missing vegetation type),,,
